A R S Sport Strip - Belle Plaine, MN
Brookhaven-Lincoln Co - Brookhaven, MS
Brookings Airport - Brookings, SD
Brookings State Airport - Brookings, OR
Brooklandville Heliport - Brooklandville, MD
Brookneal-Campbell Co - Brookneal, VA
Brooks - Marshall, MI
Brooks Co - Falfurrias, TX
Brooks Lake Airport - Brooks Lake, AK
Brooks Lodge Airport - Brooks Lodge, AK
Brookville - Brookville, OH
Brooten Municipal - Brooten, MN
Brown County Airport - Georgetown, OH
Brown Field Municipal Airport - San Diego, CA
Browns Airport - Weeping Water, NE
Brownsville - Brownsville, CA
Brownwood Regional Airport - Brownwood, TX
Bruce - Ballinger, TX
Bruce Meadows - Stanley, ID
Brundidge Municipal - Brundidge, AL
Brunswick Co - Oak Island, NC
Brush Municipal - Brush, CO
Bryan - Starkville, MS
Bryant - Bridgeport, CA
Bryant Army Air Field - Fort Richardson, AK
Bryce Airport - Bryce, UT
Buchan - Englewood, FL
Buchanan Field - Concord, CA
Buckeye Airport - Buckeye, AZ
Buckland Airport - Buckland, AK
Buckley Air National Guard Base - Denver, CO
Bucklin - Bucklin, KS
Bucks - Bridgeton, NJ
Buffalo - Amarillo, TX
Buffalo Airfield - Buffalo, NY
Buffalo Municipal - Buffalo, MN
Buffalo Municipal - Buffalo, MO
Buffalo Municipal - Buffalo, OK
Buffalo Municipal Airport - Buffalo, WY
Buffalo Niagara International Airport - Buffalo, NY
Buffalo-Lancaster Regional Airport - Lancaster, NY
Buhl Municipal - Buhl, ID
Bullfrog Basin - Glen Canyon Natl Rec, UT
Bullfrog Basin Airport - Bullfrog Basin, UT
Bulverde - Bulverde, TX
Bunch'S Half Acre - Harrietta, MI
Bunkie Municipal - Bunkie, LA
Burke Co - Waynesboro, GA
Burke Lakefront Airport - Cleveland, OH
Burley Municipal Airport - Burley, ID
Burlington Airport - Burlington, IA
Burlington Airport - Burlington, MA
Burlington County Airport - Mount Holly, NJ
Burlington International Airport - Burlington, VT
Burlington Municipal - Burlington, WI
