A R S Sport Strip - Belle Plaine, MN
Remer Municipal - Remer, MN
Renner Field - Goodland, KS
Reno/Stead - Reno, NV
Reno/Tahoe International Airport - Reno, NV
Rensselaer Airport - Rensselaer, IN
Rensselaer Co - Troy, NY
Renton Airport - Renton, WA
Rentschler Airport - East Hartford, CT
Rep Airport - Mount Shasta, CA
Republic Field - Farmingdale, NY
Reserve - Reserve, NM
Resnick - Ellenville, NY
Rexburg-Madison Co - Rexburg, ID
Reynolds Airport - Richfield, UT
Reynolds Municipal Airport - Jackson, MI
Reynolds/North Mobile Co - Creola, AL
Rhodes - Jackson, OH
Rialto Municipal/Miro - Rialto, CA
Rice County Municipal Airport - Lyons, KS
Rice Lake Airport - Rice Lake, WI
Richard B Russell Airport - Rome, GA
Richard I Bong Airport - Superior, WI
Richard Lloyd Jones Jr Airport - Tulsa, OK
Richards Field - Massena, NY
Richards Municipal - Paducah, TX
Richards-Gebaur Airport - Grandview, MO
Richardton - Richardton, ND
Richey - Richey, MT
Richland - Richland Center, WI
Richland Airport - Richland, WA
Richland Municipal - Richland, MO
Richland Municipal Airport - Sidney, MT
Richmond - Gregory, MI
Richmond - West Kingston, RI
Richmond Airport - Richmond, IN
Richmond International Airport (Byrd Field) - Richmond, VA
Richton-Perry Co - Richton, MS
Richwood Municipal - Richwood, WV
Rick Husband Amarillo International Airport - Amarillo, TX
Rickenbacker Airport - Columbus, OH
Riddick - Philipsburg, MT
Ridgefield Park - Ridgefield Park, NJ
Ridgeland - Ridgeland, SC
Ridgely - Ridgely, MD
Rigby-Jefferson Co - Rigby, ID
Ring Hill - Carmel, ME
Rinkenberger Airport - Bradford, IL
Rio Bravo - Bakersfield, CA
Rio Linda Airport - Rio Linda, CA
Rio Vista Municipal - Rio Vista, CA
Ripley - Ripley, MS
River Ranch Resort - River Ranch, FL
Riverside Flabob Airport - Riverside, CA
Riverside Heliport - Riverside, CA
Riverside Municipal Airport - Riverside, CA
Riverton Airport - Riverton, WY
Riverview - Dresden, OH
Riverview - Jenison, MI
Rives Air Park - Royse City, TX
Roanoke Municipal - Roanoke, AL
Roanoke Regional Airport - Roanoke, VA
Robbins - Oneonta, AL
Robert J. Miller Air Park - Toms River, NJ
Robert Lafleur Airport - Waterville, ME
Robert Lee - Robert Lee, TX
Robert S. Kerr Airport - Poteau, OK
Roberts Air Force Base - San Miguel, CA
Roberts Field - Redmond, OR
Robertson - Langdon, ND
Robertson - Plainville, CT
Robins Air Force Base - Macon, GA
Robinson - Vevay, IN
Robinson Aaf - Camp Robinson, AR
Robinson Municipal - Robinson, IL
Roche Harbor Airport - Roche Harbor, WA
Rochelle Mun-Koritz - Rochelle, IL
Rochester International Airport - Rochester, MN
Rochester Municipal Heliport - Rochester, MN
Rock - Tarentum, PA
Rock Co - Bassett, NE
Rock County Airport - Janesville, WI
Rock Hill Airport - Rock Hill, SC
Rock Rapids Municipal - Rock Rapids, IA
Rockford Municipal - Rockford, ID
Rockingham Co-Shiloh - Reidsville, NC
Rockingham-Hamlet - Rockingham, NC
Rockwall Municipal - Rockwall, TX
Rockwell City Municipal - Rockwell City, IA
Rockwood Municipal Airport - Rockwood, TN
Rocky Mount-Wilson Airport - Rocky Mount/Wilson, NC
Rocky Mountain Metropolitan Airport - Broomfield, CO
Rogers - Chester, CA
Rogers Airport - Rogers, AR
Rogue Valley International-Medford Airport - Medford, OR
Rohnerville - Fortuna, CA
Rolette - Rolette, ND
Rolla Downtown Airport - Rolla, MO
Rolla Municipal - Rolla, ND
Rolla National Airport - Vichy, MO
Rollang Field - Anguilla, MS
Rolle - Somerton, AZ
Roma Falcon State Airport - Roma Falcon, TX
Romeo State - Romeo, MI
Ronald Reagan National Airport - Washington, DC
Ronan - Ronan, MT
Rooke Field - Refugio, TX
Roosevelt Airport - Roosevelt, UT
Roosevelt Memorial - Warm Springs, GA
Roosterville Airport - Liberty, MO
Rosalia Municipal - Rosalia, WA
Rosamond - Rosamond, CA
Rosario Sea Plane Base - Rosario, WA
Rosaschi - Smith, NV
Roscoe Turner Airport - Corinth, MS
Roscommon Conservation - Roscommon, MI
Roscommon County Airport - Houghton Lake, MI
Roseau Municipal Airport - Roseau, MN
Roseburg Municipal Airport - Roseburg, OR
Rosecrans Memorial Airport - Saint Joseph, MO
Ross Co - Chillicothe, OH
Ross Field - Benton Harbor, MI
Ross International Airport - Sweetgrass, MT
Rosser Ranch - Graham, TX
Rossettie - Manchester, MI
Rostraver - Monongahela, PA
Rotunda Airport - Rotunda, FL
Rough River State Park - Falls Of Rough, KY
Round Lake - Round Lake, NY
Round Valley - Covelo, CA
Roundup Airport - Roundup, MT
Rountree - Hartselle, AL
Rouses Point Airport - Rouses Point, NY
Rowan Bay Airport - Rowan Bay, AK
Rowan County Airport - Salisbury, NC
Roy - Grafton, WV
Roy Hurd Memorial Airport - Monahans, TX
Royalton - Gasport, NY
Ruby Airport - Ruby, AK
Rudy'S Gliderport - High Springs, FL
Rudys - Vineland, NJ
Rugby Municipal - Rugby, ND
Ruhe'S - Leipsic, OH
Ruidoso Municipal Airport - Ruidoso, NM
Ruleville-Drew - Drew, MS
Rush City Regional - Rush City, MN
Rushford Municipal - Rushford, MN
Rusk Co - Henderson, TX
Rusk Co - Ladysmith, WI
Russell Airport - Russell, KS
Russellville Municipal - Russellville, AL
Russellville Regional - Russellville, AR
Russellville-Logan Co - Russellville, KY
Russian Mission Airport - Russian Mission, AK
Rust - Woolsey, GA
Ruston Airport - Ruston, LA
Ruth - Ruth, CA
Rutherford Co-Marchman - Rutherfordton, NC
Rutland Airport - Rutland, VT
RWJ Airpark - Baytown, TX
Ryan - Tucson, AZ
Ryan Airport - Baton Rouge, LA
Ryan Field - Hemet, CA
Ryegate - Ryegate, MT
Sac City Municipal - Sac City, IA
Sackman Field - Columbia, IL
Sacramento Executive Airport - Sacramento, CA
Sacramento International Airport - Sacramento, CA
Sacramento Mather Airport - Sacramento, CA
Safford Airport - Safford, AZ
Saginaw - Ft Worth, TX
Saginaw Bay Airport - Saginaw Bay, AK
Saginaw Co-Browne - Saginaw, MI
Saguache Municipal - Saguache, CO
Sagwon Airport - Sagwon, AK
Saint George Municipal Airport - Saint George, UT
Saint Johns Municipal Airport - Saint Johns, AZ
Saint Lucie County Airport - Fort Pierce, FL
Saint Mary's Airport - Saint Mary's, AK
Saint Marys County Airport - Leonardtown, MD
Saint Paul Island Airport - Saint Paul Island, AK
Salamon - West Union, OH
Salem - Salem, AR
Salem - Salem, OH
Salem Municipal - Salem, IN
Salida Airport - Salida, CO
Salina Airport - Salina, KS
Salina Airport - Salina, UT
Salinas Airport - Salinas, CA
Saline - Saline, MI
Saline Co/Watts - Benton, AR
Sallisaw Municipal - Sallisaw, OK
Salmon Airport - Salmon, ID
Salmon Lake - Salmon Lake, AK
Salmon River - Marlborough, CT
Salt Lake City International Airport - Salt Lake City, UT
Salt Lake City Mun No 2 - Salt Lake City, UT
Salt Lake Skypark - Bountiful, UT
Salton City Airport - Salton City, CA
Saluda Co - Saluda, SC
Salyer Farms - Corcoran, CA
Sampson County Airport - Clinton, NC
Samuels Field - Bardstown, KY
San Antonio International Airport - San Antonio, TX
San Ardo - San Ardo, CA
San Augustine Co - San Augustine, TX
San Carlos Airport - San Carlos, CA
San Carlos Apache - Globe, AZ
San Clemente I Nalf - San Clemente I, CA
San Diego International Airport - San Diego, CA
San Fernando Airport - San Fernando, CA
San Francisco International Airport - San Francisco, CA
San Geronimo - San Antonio, TX
San Jose I - Rockport, TX
San Juan County Airport - Monticello, UT
San Juan Sea Plane Base - San Juan, AK
San Luis Obispo County Regional Airport - San Luis Obispo, CA
San Manuel - San Manuel, AZ
San Marcos Municipal - San Marcos, TX
San Nicolas I Nolf - San Nicolas I, CA
San Patricio Co - Sinton, TX
San Rafael Heliport - San Rafael, CA
San Saba Co Municipal - San Saba, TX
Sand Canyon - Chewelah, WA
Sand Point Municipal Airport - Sand Point, AK
Sand Springs - Sand Springs, MT
Sanderson Field - Shelton, WA
Sandia Airpark Estates East - Edgewood, NM
Sandpoint - Sandpoint, ID
Sandstone Municipal - Sandstone, MN
Sandusky City - Sandusky, MI
Sandusky County Regional Airport - Fremont, OH
Sandy River - Sandy, OR
Sandy River Airpor - Sandy River, AK
Sanford Airport - Sanford, ME
Sanford-Lee Co Brick - Sanford, NC
Sanger - Monee, IL
Santa Ana Downtown Heliport - Santa Ana, CA
Santa Barbara Municipal Airport - Santa Barbara, CA
Santa Cruz Island Airport - Santa Barbara, CA
Santa Cruz Skypark - Santa Cruz, CA
Santa Fe Airport - Santa Fe, NM
Santa Maria Public Airport - Santa Maria, CA
Santa Monica Airport - Santa Monica, CA
Santa Paula Airport - Santa Paula, CA
Santa Rosa Municipal - Santa Rosa, NM
Santa Ynez Airport - Santa Ynez, CA
Santee Cooper Regional - Manning, SC
Santiam Junction State - Santiam Junction, OR
Saratoga Co - Saratoga Springs, NY
Sargent Municipal - Sargent, NE
Saricheff Airport - Saricheff, AK
Satanta Municipal - Satanta, KS
Saufley Naval Air Station - Pensacola, FL
Sauk Centre Municipal - Sauk Centre, MN
Sauk-Prairie - Prairie Du Sac, WI
Sault Ste Marie Municipal Airport - Sault Ste Marie, MI
Savage - Montezuma, GA
Savannah-Hardin Co - Savannah, TN
Savannah/Hilton Head Airport - Savannah, GA
Savoonga Airport - Savoonga, AK
Sawyer International Airport - Marquette, MI
Sayre Municipal - Sayre, OK
Scammon Bay Sea Plane Base - Scammon Bay, AK
Scandia - Russell, PA
Scappoose Industrial - Scappoose, OR
Schafer Usfs - Schafer, MT
Schaumburg Marriott Heliport - Schaumburg, IL
Schaumburg Regional - Chicago/Schaumburg, IL
Schenectady County Airport - Schenectady, NY
Schertz - Gibson City, IL
Schiffer Acres - St Johns, MI
Schloredt Airport - Sundance, WY
Schneiders - Revere, PA
Scholes Field - Galveston, TX
Schoolcraft County Airport - Manistique, MI
Schroeder Field - Hillsboro, KS
Schroon Lake - Schroon Lake, NY
Schuy-Rush - Rushville, IL
Schuylkill Co - Pottsville, PA
Scobey Border Stn/East Poplar* - Scobey, MT
Scotia Municipal - Scotia, NE
Scott - Mineral Wells, WV
Scott - Oroville, WA
Scott - Parsons, TN
Scott - Tallulah, LA
Scott AFB/Mid America Airport - Belleville, IL
Scott City Municipal - Scott City, KS
Scott Field - Mangum, OK
Scott Municipal - Oneida, TN
Scott Municipal - West Union, IA
Scott Valley - Ft Jones, CA
Scotts Bluff County Airport - Scottsbluff, NE
Scottsboro Mun-Word - Scottsboro, AL
Scottsburg - Scottsburg, IN
Scottsdale Municipal Airport - Phoenix, AZ
Scranton Municipal Airport - Scranton, PA
Seagraves - Seagraves, TX
Seal Bay Airport - Seal Bay, AK
Seamans - Factoryville, PA
Searchlight - Searchlight, NV
Searcy Airport - Searcy, AR
Searcy Co - Marshall, AR
Searcy Field - Stillwater, OK
Searle Field - Ogallala, NE
Seaside Municipal - Seaside, OR
Seattle-Tacoma International Airport - Seattle, WA
Sebastian Municipal - Sebastian, FL
Sebewaing - Sebewaing, MI
Sebring Air Terminal - Sebring, FL
Sedalia Airport - Sedalia, MO
Sedan City - Sedan, KS
Sedona Airport - Sedona, AZ
Seeley Lake - Seeley Lake, MT
Seiling - Seiling, OK
Sekiu - Sekiu, WA
Selawik Airport - Selawik, AK
Seldovia Airport - Seldovia, AK
Selfield Airport - Selma, AL
Selfridge Air National Guard Base - Mount Clemens, MI
Selfs Airport - Marks, MS
Seligman - Seligman, AZ
Sells - Sells, AZ
Selma - Selma, CA
Seminole Municipal - Seminole, OK
Senator Clark Airport - Gallup, NM
Seneca Aaf - Romulus, NY
Seneca Co - Tiffin, OH
Seneca Municipal - Seneca, KS
Sequim Valley Airport - Sequim, WA
Sequoia - Visalia, CA
Seven Springs - Seven Springs Borough, PA
Seward Airport - Seward, AK
Seward Municipal - Seward, NE
Seymour Johnson Air Force Base - Goldsboro, NC
Seymour Municipal - Seymour, TX
Shades State Park - Waveland, IN
Shady Acres - Spanaway, WA
Shageluk Airport - Shageluk, AK
Shaktoolik Airport - Shaktoolik, AK
Shamrock - Brooklyn, MI
Shamrock Municipal - Shamrock, TX
Shangri-la Airport - Shangri-la, OK
Shannon - Fredericksburg, VA
Sharp - Ord, NE
Sharp Co Regional - Ash Flat, AR
Sharpe Army Air Field - Lathrop, CA
Sharpe Field - Tuskegee, AL
Shaw Air Force Base - Sumter, SC
Shawano Municipal - Shawano, WI
Shawnee - Bloomfield, IN
Shawnee Municipal Airport - Shawnee, OK
Shearer Usfs - Shearer, ID
Sheboygan Memorial Airport - Sheboygan, WI
Sheep Mountain Airport - Sheep Mountain, AK
Shelby Airport - Shelby, MT
Shelby Co - Alabaster, AL
Shelby Co - Shelbyville, IL
Shelby Co - Shelbyville, MO
Shelby Community - Shelby, OH
Shelby Municipal - Shelby, NC
Shelbyville Municipal Airport - Shelbyville, IN
Sheldon Municipal - Sheldon, IA
Sheldon Sea Plane Base - Sheldon Point, AK
Shell Creek Airpark - Punta Gorda, FL
Shell Lake Municipal - Shell Lake, WI
Shelter Cove - Shelter Cove, CA
Shemya Air Force Base - Shemya, AK
Shenandoah Municipal - Shenandoah, IA
Shenandoah Valley Airport - Staunton, VA
Shenk - Garrett, IN
Sheppard Air Force Base - Wichita Falls, TX
Sheridan - Sheridan, OR
Sheridan Airport - Sheridan, IN
Sheridan Airport - Sheridan, WY
Sheridan Municipal - Sheridan, AR
Sherman Airport - Clinton, OK
Sherman Army Air Field - Fort Leavenworth, KS
Sherman Municipal - Sherman, TX
Sherman Oaks Heliport - Los Angeles, CA
Sherwood Airport - Plentywood, MT
Shiflet - Marion, NC
Shingletown - Shingletown, CA
Shiocton - Shiocton, WI
Shippensburg - Shippensburg, PA
Shiprock Airstrip - Shiprock, NM
Shirley - Shirley, MA
Shishmaref Airport - Shishmaref, AK
Shively Airport - Saratoga, WY
Shoal Cove Airport - Shoal Cove, AK
Shoshone - Shoshone, CA
Shoshone Co - Kellogg, ID
Shoshoni Municipal - Shoshoni, WY
Show Low Airport - Show Low, AZ
Shreveport Downtown Airport - Shreveport, LA
Shreveport Regional Airport - Shreveport, LA
Shungnak Airport - Shungnak, AK
Sibley - Selmer, TN
Sibley Municipal - Sibley, IA
Sidney Airport - Sidney, NE
Sidney Airport - Sidney, NY
Sidney Municipal - Sidney, OH
Sierra Sky Park - Fresno, CA
Sierraville Dearwater - Sierraville, CA
Sig Field - Montezuma, IA
Sikes - Luverne, AL
Sikeston Memorial Airport - Sikeston, MO
Sikorsky Heliport - Stratford, CT
Siler City Municipal - Siler City, NC
Siletz Bay State - Gleneden Beach, OR
Silver Bay Municipal - Silver Bay, MN
Silver City - Alpena, MI
Silver Lake F S Strip - Silver Lake, OR
Silver Springs - Silver Springs, NV
Silver West - Westcliffe, CO
Silverwood - Athol, ID
Simmons Army Airfield - Fort Bragg, NC
Simpson - Philippi, WV
Simsbury - Simsbury, CT
Sioux Center Municipal - Sioux Center, IA
Sioux Falls Regional Airport (Jo Foss Field) - Sioux Falls, SD
Sioux Gateway Airport - Sioux City, IA
Siskiyou County Airport - Montague, CA
Sisseton Municipal - Sisseton, SD
Sisters Eagle Air - Sisters, OR
Sitka Airport - Sitka, AK
Sitkinak Island Coast Guard Station - Sitkinak Island, AK
Skagit Regional Airport - Mount Vernon, WA
Skagway Municipal Airport - Skagway, AK
Skaneateles - Skaneateles, NY
Skelton - Eureka, AK
Skiatook Municipal - Skiatook, OK
Skie-Lincoln Co - Tea, SD
Skwentna Intermediate Airport - Skwentna, AK
Sky Acres - Millbrook, NY
Sky Harbor - Duluth, MN
Sky Harbor - Sultan, WA
Sky Harbor Airport - Northbrook, IL
Sky Haven - Enderlin, ND
Sky King - Terre Haute, IN
Sky Manor - Jacksonville, NC
Sky Manor - Pittstown, NJ
Sky Park - Newkirk, OK
Sky Park - Red Hook, NY
Sky Portal Airport - Montauk Point, NY
Sky Ranch - Sandy Valley, NV
Skydive Chicago - Ottawa, IL
Skydive Houston - Waller, TX
Skyharbor - Selma, AL
Skyhaven - Rochester, NH
Skyhaven - Tunkhannock, PA
Skyhaven - Warrensburg, MO
Skykomish State - Skykomish, WA
Skylane - Evansville, IN
Skylark Airpark - Warehouse Point, CT
Skyport - Cornelius, OR
Skyports Seaplane Base - New York, NY
Skyway Estates - Eaton Rapids, MI
Skyway Manor Airport - Pearland, TX
Skywest Airpark - Mobile, AL
Skywest Inc - Midland, TX
Slate Creek - Slate Creek, ID
Slater Memorial - Slater, MO
Slatington Airport - Slatington, PA
Slaton Municipal - Slaton, TX
Slayton Municipal - Slayton, MN
Sleepy Eye Municipal - Sleepy Eye, MN
Sleetmute Airport - Sleetmute, AK
Slidell - Slidell, LA
Sloulin Field International Airport - Williston, ND
Smart Airport - Macon, GA
Smiley Creek - Galena, ID
Smith - Beaufort, NC
Smith - Macomb, IL
Smith Cove Airport - Smith Cove, AK
Smith Field - Fort Wayne, IN
Smith Field - Siloam Springs, AR
Smith Memorial - Harrisonville, MO
Smith Mountain Lake - Moneta, VA
Smith Prairie - Prairie, ID
Smith-Reynolds Airport - Winston-Salem, NC
Smithville Municipal - Smithville, TX
Smithville Municipal Airport - Smithville, TN
Smoketown - Smoketown, PA
Smyrna - Smyrna, DE
Smyrna Airport - Smyrna, TN
Snohomish County Airport - Everett, WA
Snyder - Snyder, OK
Socorro Airport - Socorro, NM
Solberg-Hunterdon - Readington, NJ
Soldier Bar Usfs - Soldier Bar, ID
Soldotna Airport - Soldotna, AK
Solomon Airport - Solomon, AK
Solon Springs Municipal - Solon Springs, WI
Somerset - Somerville, NJ
Somerset Co - Somerset, PA
Somerville - Ada, MI
Sonoma County Airport - Santa Rosa, CA
Sonoma Skypark - Sonoma, CA
Sonoma Valley Airport - Schellville-Sonoma, CA
Sonora Municipal - Sonora, TX
South Albany - South Bethlehem, NY
South Bend Regional - South Bend, IN
South Big Horn County Airport - Greybull, WY
South Co Of Santa Clara Co - San Martin, CA
South Fulton - Palmetto, GA
South Haven Area Regional - South Haven, MI
South Lafourche - Galliano, LA
South Lake Tahoe Airport - South Lake Tahoe, CA
South Lakeland Airport - Mulberry, FL
South Naknek Airport - South Naknek, AK
South Padre Island International Airport - Brownsville, TX
South St Paul Municipal Airport - South St Paul, MN
South Texas Regional Airport at Hondo - Hondo, TX
South Weymouth Airport - South Weymouth, MA
Southard - Bieber, CA
Southbridge Municipal - Southbridge, MA
Southeast Greensboro - Greensboro, NC
Souther - Americus, GA
Southern California Logistics Airport - Victorville, CA
Southern Cross - Williamstown, NJ
Southern Illinois Airport - Carbondale, IL
Southern Sea Plane Base - Belle Chasse, LA
Southland - Sulphur, LA
Southwest Florida International Airport - Fort Myers, FL
Space Center Executive Airport - Titusville, FL
Spaceland Airport - Houston, TX
Spadaro - East Moriches, NY
Spanaway - Spanaway, WA
Spanish Fork-Springville - Spanish Fork, UT
Spanish Peaks - Walsenburg, CO
Spanish Springs - Reno, NV
Sparrevohn Air Force Station - Sparrevohn, AK
Sparta - Sparta, MI
Sparta Community Airport - Sparta, IL
Spartanburg Downtown Memorial Airport - Spartanburg, SC
Spaulding - Susanville, CA
Spearman Municipal - Spearman, TX
Speedway Airport - Indianapolis, IN
Spence Airport - Moultrie, GA
Spencer - Spencer, MA
Spencer Municipal Airport - Spencer, IA
Spencerport - Spencerport, NY
Spicewood - Spicewood, TX
Spirit Lake Airport - Spirit Lake, IA
Spirit of St. Louis Airport - Saint Louis, MO
Splane Memorial Airport - Oil City, PA
Spokane International Airport - Spokane, WA
Sportsman - Newberg, OR
Spotted Bear Usfs - Spotted Bear, MT
Spring Hill - Sterling, PA
Springdale Municipal Airport - Springdale, AR
Springer Municipal - Springer, NM
Springerville Babbitt - Springerville, AZ
Springfield Airport - Springfield, OH
Springfield Municipal - Springfield, CO
Springfield Municipal - Springfield, MN
Springfield Municipal - Springfield, SD
Springfield Robertson Co - Springfield, TN
Springfield-Branson Regional Airport - Springfield, MO
Springhill - Springhill, LA
Springview Municipal - Springview, NE
Spruce Creek - Daytona Beach, FL
St Charles Airport - St Charles, MO
St Clair County International Airport - Port Huron, MI
St Elmo - St Elmo, AL
St George - St George, AK
St George - St George, SC
St George Island - Apalachicola, FL
St Helen - St Helen, MI
St Ignatius - St Ignatius, MT
St James Municipal - St James, MN
St John The Baptist Parish - Reserve, LA
St Labre Mission - Ashland, MT
St Landry Parish Airport - Opelousas, LA
St Louis Metro East Shafer Field  - St Jacob, IL
St Maries Municipal - St Maries, ID
St Marys - St Marys, GA
St Marys Airport - Saint Marys, MD
St Thomas Municipal - St Thomas, ND
St. Augustine Airport - Saint Augustine, FL
St. Clair County Airport - Pell City, AL
St. Cloud Municipal Airport - Saint Cloud, MN
St. Cloud Municipal Heliport - Saint Cloud, MN
St. George Island Airport - Saint George Island, AK
St. Louis Downtown Airport - Saint Louis, MO
St. Louis Regional Airport - Alton, IL
St. Marys Airport - Sainte Marys, PA
St. Michael - St. Michael, AK
St. Michael Airport - Saint Michael, AK
St. Paul Downtown Airport - Saint Paul, MN
St. Petersburg-Clearwater International Airport - Saint Petersburg, FL
Stafford - Weatherford, OK
Stafford Municipal - Stafford, KS
Stafford Regional Airport - Stafford, VA
Stahl'S Mountain - Union Dale, PA
Stallings Field - Kinston, NC
Stambaugh - Stambaugh, MI
Stampede - Kantishna, AK
Standard - Elkton, KY
Standing Rock - Ft Yates, ND
Standish Industrial - Standish, MI
Stanford - St Anthony, ID
Stanford - Stanford, MT
Stanley - Stanley, ID
Stanley Municipal - Stanley, ND
Stanly Co - Albemarle, NC
Stanton - New Paltz, NY
Stanton - Stanton, KY
Stanton Co Municipal - Johnson, KS
Stanton Municipal - Stanton, TX
Staples Municipal - Staples, MN
Star City Municipal - Star City, AR
Starbuck Municipal - Starbuck, MN
Stark'S Twin Oaks - Hillsboro, OR
Starke Co - Knox, IN
Starr Co - Rio Grande City, TX
Starr-Browning - Browning, MT
State Airport - Bandon, OR
State Airport - Chiloquin, OR
State Airport - Easton, WA
State Airport - Gold Beach, OR
State Airport - Hermiston, OR
State Airport - Newport, RI
State Airport - Pacific City, OR
State Airport - Rome, OR
State Airport - Scribner, NE
State Airport - Springfield, VT
Statesboro Municipal Airport - Statesboro, GA
Statesville Municipal Airport - Statesville, NC
Steamboat Sea Plane Base - Steamboat Bay, AK
Steamboat Springs Airport - Steamboat Springs, CO
Stebbins Airport - Stebbins, AK
Steel Pier Heliport - Atlantic City, NJ
Steele Municipal - Steele, MO
Stefan Field - Norfolk, NE
Stehekin State - Stehekin, WA
Stellar Air Park - Chandler, AZ
Stennis International Airport - Bay St. Louis, MS
Stephen Municipal - Stephen, MN
Stephens County Airport - Breckenridge, TX
Stephens-Gilmer Municipal - Gilmer, TX
Sterling - Sterling, MA
Stevens Crosby - North Fork, NV
Stevens Field - Pagosa Springs, CO
Stevens Point Airport - Stevens Point, WI
Stevens Village Airport - Stevens Village, AK
Stevenson - Stevenson, AL
Stevensville - Stevensville, MT
Stewart - Waynesville, OH
Stewart Airport - Newburgh, NY
Stigler Municipal - Stigler, OK
Stilwell/Cherokee Nation - Stilwell, OK
Stinson - Aberdeen, MS
Stinson Municipal Airport - San Antonio, TX
Stockmar - Villa Rica, GA
Stockton Airport - Stockton, CA
Stockton Municipal - Stockton, KS
Stockton Municipal - Stockton, MO
Stolport Airport - Vallejo, CA
Stoltzfus Airfield - Kidron, OH
Stonewall Co - Aspermont, TX
Stonington Municipal - Stonington, ME
Stony River Airport - Stony River, AK
Storm Lake Municipal Airport - Storm Lake, IA
Stormville - Stormville, NY
Stove Pipe Wells - Death Valley Natl Park, CA
Stratford - Stratford, TX
Strom - Morton, WA
Stromsburg Municipal - Stromsburg, NE
Stroud Airport - Stroud, OK
Stuart Island Airport - Stuart Island, WA
Stuart-Atkinson Municipal - Atkinson, NE
Sturgis Municipal - Sturgis, KY
Sturgis Municipal - Sturgis, SD
Stuttgart Airport - Stuttgart, AR
Suburban - Laurel, MD
Sudden Stop - Collinsville, TX
Suffolk County Airport - Westhampton, NY
Suffolk Municipal - Suffolk, VA
Sugar Land Municipal Airport - Houston, TX
Sugar Loaf Resort - Traverse City, MI
Sugar Valley - Mocksville, NC
Sugarloaf Regional - Carrabassett, ME
Sullivan County Airport - Sullivan, IN
Sullivan County International Airport - Monticello, NY
Sullivan Lake State - Metaline Falls, WA
Sullivan Regional - Sullivan, MO
Sully Municipal - Sully, IA
Sulphur Municipal - Sulphur, OK
Sulphur Springs Airport - Sulphur Springs, TX
Summersville - Summersville, WV
Summerville - Summerville, SC
Summit - Middletown, DE
Summit Airport - Summit, AK
Sumner County Regional Airport - Gallatin, TN
Sumter Municipal Airport - Sumter, SC
Sun Hill Ranch - Helendale, CA
Sun River Airport - Sun River, OR
Sun Valley - Bullhead City, AZ
Sun Valley Airport - Sun Valley, ID
Sunburst - Sunburst, MT
Sunbury - Sunbury, PA
Sundance - Oklahoma City, OK
Sunnyside Municipal - Sunnyside, WA
Sunray - Sunray, TX
Sunrise Beach - Sunrise Beach Village, TX
Sunset Skyranch - Elk Grove, CA
Superior Municipal - Superior, AZ
Superior Municipal - Superior, NE
Susanville Airport - Susanville, CA
Sussex - Sussex, NJ
Sussex County Airport - Georgetown, DE
Sutter Co - Yuba City, CA
Suwannee Co - Live Oak, FL
Swan Creek - Jonesville, NC
Swans - Dixfield, ME
Swanson - Eatonville, WA
Sweetwater Airport - Sweetwater, TX
Sweetwater County Airport - Rock Springs, WY
Sycamore Strip - Ft Worth, TX
Sylvania - Sturtevant, WI
Sylvester Airport - Sylvester, GA
Syracuse-Hamilton Co Municipal - Syracuse, KS
T-Bar - Tahoka, TX
Tabneta Pass Airport - Tabneta Pass Lodge, AK
Tackaberry - Avoca, MI
Taft-Kern Co - Taft, CA
Tahlequah Municipal - Tahlequah, OK
Takotna Airport - Takotna, AK
Taku Sea Plane Base - Taku Lodge, AK
Talihina Municipal - Talihina, OK
Talkeetna Airport - Talkeetna, AK
Talladega Airport - Talladega, AL
Tallahassee Commercial - Tallahassee/Havana, FL
Tallahassee Regional Airport - Tallahassee, FL
Tamiami Airport - Miami, FL
Tampa Bay Executive Airport - New Port Richey, FL
Tampa Executive Airport - Tampa, FL
Tampa International Airport - Tampa, FL
Tanacross Intermediate Airport - Tanacross, AK
Tanalian Point Airport - Tanalian Point, AK
Tangier I - Tangier, VA
Tanner-Hiller - Barre, MA
Taos Airport - Taos, NM
Tappahannock Municipal - Tappahannock, VA
Tarboro-Edgecombe - Tarboro, NC
Tarrant - Mt Selman, TX
Tatalina Air Force Station - Tatalina, AK
Tatitlek Airport - Tatitlek, AK
Taunton Municipal - Taunton, MA
Taylor - Albany, TX
Taylor - Quinlan, TX
Taylor Airport - Taylor, AK
Taylor Airport - Taylor, AZ
Taylor Co - Campbellsville, KY
Taylor Field - Ocala, FL
Taylor Municipal - Taylor, TX
Taylorville Municipal - Taylorville, IL
Tazewell Co - Richlands, VA
Tazlina - Tazlina, AK
Teague Municipal - Teague, TX
Technology Park Heliport - Atlanta, GA
Tecumseh Municipal - Tecumseh, NE
Ted Stevens Anchorage International Airport - Anchorage, AK
Tekamah - Tekamah, NE
Telfair-Wheeler Airport - McRae, GA
Telida Airport - Telida, AK
Teller Airport - Teller, AK
Telluride Airport - Telluride, CO
Temple Bar - Temple Bar, AZ
Tenakee Springs Sea Plane Base - Tenakee Springs, AK
Tenkiller Lake Airpark - Cookson, OK
Tensas Parish - St Joseph, LA
Teramiranda - Afton, OK
Terlingua Ranch - Alpine, TX
Tern I. - Tern I., HI
Terrebonne Airport - Houma, LA
Terrell Co - Dryden, TX
Terrell Field - Terrell, TX
Terry - Terry, MT
Terry Co - Brownfield, TX
Teterboro Airport - Teterboro, NJ
Tetlin Airport - Tetlin, AK
